Record_ID,District,Timestamp,Date,Time,Day_of_Week,Intersection_Name,Zone,Road_Type,Vehicle_Count,Vehicle_Type_Dominant,Average_Speed_kmh,Congestion_Level,Queue_Length_meters,Signal_Cycle_Seconds,Green_Time_Ratio,Pedestrian_Count,Weather_Condition,Temperature_Celsius,Visibility_meters,Incident_Type,Incident_Severity,Travel_Time_Index,Occupancy_Rate,Air_Quality_Index
1,Salem,01-01-2024 09:18,01-01-2024,9:18,Monday,Omalur_Junction,Attur_Road,National_Highway,589,Mixed,33.42,Moderate,50,173,0.38,285,Cloudy,25.5,515.5,None,Minor,1.51,0.38,210
2,Salem,01-01-2024 16:59,01-01-2024,16:59,Monday,New_Bus_Stand_Junction,Omalur_Road,National_Highway,312,Two_Wheeler_Dominant,35.73,Low,38,136,0.38,104,Clear,34.5,138.2,None,Minor,1.75,0.51,85
3,Salem,01-01-2024 21:55,01-01-2024,21:55,Monday,Omalur_Junction,Hasthampatti,State_Highway,344,Two_Wheeler_Dominant,26.35,Moderate,58,73,0.63,73,Cloudy,21.4,342,None,None,2.48,0.25,233
4,Salem,02-01-2024 09:46,02-01-2024,9:46,Tuesday,Fairlands_Junction,Omalur_Road,National_Highway,153,Mixed,41.18,Severe,35,136,0.53,150,Clear,25.5,468.7,None,Moderate,1.78,0.41,64
5,Salem,02-01-2024 10:49,02-01-2024,10:49,Tuesday,Kondalampatti_Junction,Fairlands,National_Highway,518,Heavy_Vehicles,33.51,Low,67,136,0.58,66,Clear,32.7,100,Accident,Minor,1.01,0.62,132
6,Salem,02-01-2024 13:28,02-01-2024,13:28,Tuesday,Fairlands_Junction,Ammapet,Inner_Road,364,Mixed,59.96,High,71,167,0.41,220,Clear,30.5,751.1,None,Minor,1.61,0.79,242
7,Salem,04-01-2024 05:44,04-01-2024,5:44,Thursday,Steel_Plant_Signal,New_Suramangalam,Inner_Road,452,Two_Wheeler_Dominant,22.37,Moderate,26,85,0.47,32,Rain,24.7,523,None,None,1.25,0.89,150
8,Salem,04-01-2024 11:19,04-01-2024,11:19,Thursday,Hasthampatti_Circle,Sankari_Main_Road,National_Highway,428,Heavy_Vehicles,53.32,Severe,43,60,0.42,180,Clear,19.4,361,None,None,1.29,0.56,104
9,Salem,05-01-2024 14:57,05-01-2024,14:57,Friday,Seelanaickenpatti_Signal,Attur_Road,Main_Road,270,Heavy_Vehicles,53.81,High,79,68,0.55,11,Rain,32.6,306.6,None,Major,1.06,0.71,139
10,Salem,05-01-2024 18:55,05-01-2024,18:55,Friday,Saradha_College_Signal,Hasthampatti,Inner_Road,308,Two_Wheeler_Dominant,62.41,Low,7,168,0.68,138,Rain,26.8,317.4,Breakdown,None,1.6,0.52,216
11,Salem,05-01-2024 21:52,05-01-2024,21:52,Friday,Kitchipalayam_Signal,Kitchipalayam,National_Highway,192,Two_Wheeler_Dominant,32.8,High,38,164,0.46,36,Clear,36,399,None,None,2.29,0.62,84
12,Salem,06-01-2024 21:46,06-01-2024,21:46,Saturday,Kitchipalayam_Signal,Hasthampatti,Inner_Road,185,Heavy_Vehicles,24.29,High,41,139,0.6,26,Hot,20.3,813.3,None,None,1.97,0.45,181
13,Salem,07-01-2024 18:18,07-01-2024,18:18,Sunday,Seelanaickenpatti_Signal,Steel_Plant,National_Highway,436,Mixed,50.9,Moderate,40,115,0.63,287,Fog,35.8,467.3,Road_Work,None,2.53,0.64,150
14,Salem,08-01-2024 02:59,08-01-2024,2:59,Monday,Saradha_College_Signal,Steel_Plant,Inner_Road,564,Mixed,56,Moderate,56,151,0.43,150,Clear,25,926.4,None,None,2.44,0.69,176
